"시도별(1)","성별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도별(1)","성별(1)",계,계,계,계,계,20세,20세,20세,20세,20세,30세,30세,30세,30세,30세,40세,40세,40세,40세,40세,50세,50세,50세,50세,50세,60세,60세,60세,60세,60세,70세,70세,70세,70세,70세
"시도별(1)","성별(1)",계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심,계,우울증상이 없음,가벼운 우울증상,중간정도 우울증 의심,심한 우울증 의심
"계","합계",2347074,1876490,349590,110014,10980,94624,68050,17835,7842,897,317830,229443,64794,21918,1675,531306,402362,97293,29176,2475,562793,456508,80476,23398,2411,541081,457109,62219,19433,2320,299440,263018,26973,8247,1202
"계","남자",1145472,948691,150944,41765,4072,36356,28119,5785,2209,243,169213,131789,28823,8108,493,273454,209973,48964,13417,1100,275082,231341,34274,8529,938,251586,220811,23338,6605,832,139781,126658,9760,2897,466
"계","여자",1201602,927799,198646,68249,6908,58268,39931,12050,5633,654,148617,97654,35971,13810,1182,257852,192389,48329,15759,1375,287711,225167,46202,14869,1473,289495,236298,38881,12828,1488,159659,136360,17213,5350,736
"서울","합계",436527,336706,73951,23406,2464,16004,10916,3398,1492,198,73078,50019,16808,5761,490,97151,70787,19720,6060,584,97986,77053,15857,4577,499,95407,78981,12263,3740,423,56901,48950,5905,1776,270
"서울","남자",201732,162873,29799,8209,851,5956,4371,1119,414,52,33576,25143,6513,1795,125,47742,35537,9316,2642,247,46337,38002,6587,1568,180,42272,36700,4240,1192,140,25849,23120,2024,598,107
"서울","여자",234795,173833,44152,15197,1613,10048,6545,2279,1078,146,39502,24876,10295,3966,365,49409,35250,10404,3418,337,51649,39051,9270,3009,319,53135,42281,8023,2548,283,31052,25830,3881,1178,163
"부산","합계",158217,129387,21627,6618,585,5744,4310,966,422,46,19786,14518,3896,1289,83,34325,26848,5709,1641,127,34711,28615,4665,1296,135,39350,33614,4306,1317,113,24301,21482,2085,653,81
"부산","남자",74901,63139,9043,2486,233,2041,1627,291,113,10,9950,7849,1654,419,28,17455,13775,2839,786,55,16577,14055,1997,471,54,17707,15680,1515,461,51,11171,10153,747,236,35
"부산","여자",83316,66248,12584,4132,352,3703,2683,675,309,36,9836,6669,2242,870,55,16870,13073,2870,855,72,18134,14560,2668,825,81,21643,17934,2791,856,62,13130,11329,1338,417,46
"대구","합계",110716,90727,15144,4440,405,4072,3110,683,256,23,13619,10185,2570,801,63,24058,18683,4073,1197,105,27057,22302,3678,988,89,26968,23086,2942,855,85,14942,13361,1198,343,40
"대구","남자",52896,44564,6435,1750,147,1595,1312,209,69,5,7387,5924,1144,303,16,12144,9489,2056,553,46,12847,10892,1537,383,35,12180,10730,1096,324,30,6743,6217,393,118,15
"대구","여자",57820,46163,8709,2690,258,2477,1798,474,187,18,6232,4261,1426,498,47,11914,9194,2017,644,59,14210,11410,2141,605,54,14788,12356,1846,531,55,8199,7144,805,225,25
"인천","합계",137808,107962,22011,7198,637,5860,4155,1170,493,42,19262,13610,4141,1398,113,32573,24279,6181,1954,159,33483,26673,5115,1553,142,31677,26343,3899,1314,121,14953,12902,1505,486,60
"인천","남자",68339,55564,9745,2805,225,2224,1683,383,146,12,10249,7796,1871,552,30,17149,12915,3259,911,64,16272,13567,2116,543,46,15270,13205,1534,483,48,7175,6398,582,170,25
"인천","여자",69469,52398,12266,4393,412,3636,2472,787,347,30,9013,5814,2270,846,83,15424,11364,2922,1043,95,17211,13106,2999,1010,96,16407,13138,2365,831,73,7778,6504,923,316,35
"광주","합계",67597,56134,8560,2602,301,3735,2851,611,245,28,8136,6186,1422,489,39,16179,12896,2538,676,69,16436,13913,1923,523,77,14659,12743,1402,448,66,8452,7545,664,221,22
"광주","남자",31733,27050,3615,945,123,1296,1063,169,55,9,4040,3284,585,159,12,8027,6408,1297,294,28,8003,6942,818,205,38,6602,5898,523,152,29,3765,3455,223,80,7
"광주","여자",35864,29084,4945,1657,178,2439,1788,442,190,19,4096,2902,837,330,27,8152,6488,1241,382,41,8433,6971,1105,318,39,8057,6845,879,296,37,4687,4090,441,141,15
"대전","합계",70151,55307,10970,3572,302,3296,2349,614,300,33,9718,6960,1997,711,50,15571,11658,2933,910,70,17793,14309,2609,810,65,15656,13046,1962,594,54,8117,6985,855,247,30
"대전","남자",33710,27536,4668,1396,110,1284,994,182,95,13,5117,3914,909,280,14,7758,5852,1462,415,29,8524,7132,1059,305,28,7224,6258,742,208,16,3803,3386,314,93,10
"대전","여자",36441,27771,6302,2176,192,2012,1355,432,205,20,4601,3046,1088,431,36,7813,5806,1471,495,41,9269,7177,1550,505,37,8432,6788,1220,386,38,4314,3599,541,154,20
"울산","합계",55870,45412,7988,2289,181,1964,1446,357,148,13,7778,5825,1464,463,26,13540,10558,2332,606,44,14393,11896,1958,491,48,12848,10986,1402,421,39,5347,4701,475,160,11
"울산","남자",29275,24609,3706,890,70,695,553,105,34,3,4768,3817,762,179,10,7306,5803,1218,265,20,7363,6306,846,193,18,6460,5694,596,154,16,2683,2436,179,65,3
"울산","여자",26595,20803,4282,1399,111,1269,893,252,114,10,3010,2008,702,284,16,6234,4755,1114,341,24,7030,5590,1112,298,30,6388,5292,806,267,23,2664,2265,296,95,8
"세종","합계",14849,11498,2564,707,80,516,373,97,41,5,2077,1512,451,100,14,5215,3888,1016,288,23,3303,2616,530,138,19,2426,1999,312,102,13,1312,1110,158,38,6
"세종","남자",7376,5950,1106,290,30,180,135,31,13,1,1032,811,177,40,4,2610,1965,500,136,9,1758,1461,226,63,8,1173,1026,114,28,5,623,552,58,10,3
"세종","여자",7473,5548,1458,417,50,336,238,66,28,4,1045,701,274,60,10,2605,1923,516,152,14,1545,1155,304,75,11,1253,973,198,74,8,689,558,100,28,3
"경기","합계",596132,464945,96896,31445,2846,25542,17882,5081,2317,262,84167,60255,17460,6022,430,145152,107321,28377,8802,652,151292,120316,23240,7103,633,128930,106742,16407,5193,588,61049,52429,6331,2008,281
"경기","남자",294067,238683,42396,11951,1037,10068,7675,1667,654,72,46034,35684,7955,2272,123,74395,55834,14250,4019,292,73559,60837,9910,2577,235,61272,53025,6302,1743,202,28739,25628,2312,686,113
"경기","여자",302065,226262,54500,19494,1809,15474,10207,3414,1663,190,38133,24571,9505,3750,307,70757,51487,14127,4783,360,77733,59479,13330,4526,398,67658,53717,10105,3450,386,32310,26801,4019,1322,168
"강원","합계",67702,55464,9060,2890,288,2789,2036,500,229,24,7619,5723,1374,478,44,13240,10236,2264,688,52,16090,13320,2115,586,69,18689,15959,1981,678,71,9275,8190,826,231,28
"강원","남자",33217,28291,3799,1028,99,1147,927,156,61,3,4338,3483,670,176,9,6845,5458,1077,288,22,7954,6830,890,206,28,8544,7593,712,213,26,4389,4000,294,84,11
"강원","여자",34485,27173,5261,1862,189,1642,1109,344,168,21,3281,2240,704,302,35,6395,4778,1187,400,30,8136,6490,1225,380,41,10145,8366,1269,465,45,4886,4190,532,147,17
"충북","합계",74579,60225,10579,3471,304,3245,2362,580,277,26,9761,7149,1890,678,44,15671,11950,2807,854,60,18404,15105,2512,731,56,17879,15147,1972,679,81,9619,8512,818,252,37
"충북","남자",37629,31333,4782,1395,119,1311,992,205,103,11,5768,4525,944,277,22,8379,6453,1489,413,24,9043,7652,1100,270,21,8453,7445,746,232,30,4675,4266,298,100,11
"충북","여자",36950,28892,5797,2076,185,1934,1370,375,174,15,3993,2624,946,401,22,7292,5497,1318,441,36,9361,7453,1412,461,35,9426,7702,1226,447,51,4944,4246,520,152,26
"충남","합계",94288,76242,13295,4324,427,3595,2584,670,307,34,12556,9161,2467,865,63,20742,15698,3820,1140,84,21980,18036,2958,886,100,21588,18492,2248,752,96,13827,12271,1132,374,50
"충남","남자",48963,40710,6268,1815,170,1496,1145,254,87,10,7793,6019,1331,415,28,11626,8868,2119,598,41,11331,9685,1278,327,41,10104,8977,837,260,30,6613,6016,449,128,20
"충남","여자",45325,35532,7027,2509,257,2099,1439,416,220,24,4763,3142,1136,450,35,9116,6830,1701,542,43,10649,8351,1680,559,59,11484,9515,1411,492,66,7214,6255,683,246,30
"전북","합계",80544,67861,9503,2898,282,3484,2576,616,268,24,8177,6269,1394,479,35,15959,12833,2414,657,55,18855,16011,2166,625,53,20449,17861,1944,563,81,13620,12311,969,306,34
"전북","남자",38944,33673,4055,1114,102,1303,1037,188,75,3,4408,3607,607,184,10,8248,6708,1214,302,24,9416,8195,951,248,22,9416,8437,752,198,29,6153,5689,343,107,14
"전북","여자",41600,34188,5448,1784,180,2181,1539,428,193,21,3769,2662,787,295,25,7711,6125,1200,355,31,9439,7816,1215,377,31,11033,9424,1192,365,52,7467,6622,626,199,20
"전남","합계",82572,70892,8768,2527,385,3132,2343,533,228,28,8076,6389,1287,368,32,15848,12966,2221,607,54,18474,15848,1988,561,77,21745,19285,1824,519,117,15297,14061,915,244,77
"전남","남자",41214,36304,3807,973,130,1192,954,164,66,8,4541,3780,603,150,8,8443,6980,1140,298,25,9571,8486,858,193,34,10268,9381,681,178,28,7199,6723,361,88,27
"전남","여자",41358,34588,4961,1554,255,1940,1389,369,162,20,3535,2609,684,218,24,7405,5986,1081,309,29,8903,7362,1130,368,43,11477,9904,1143,341,89,8098,7338,554,156,50
"경북","합계",118899,99089,14832,4435,543,4166,3119,709,295,43,13201,9965,2378,807,51,23580,18420,3902,1135,123,27132,22779,3343,897,113,31268,27129,3083,905,151,19552,17677,1417,396,62
"경북","남자",60492,51728,6687,1847,230,1718,1368,250,85,15,8189,6540,1236,394,19,12851,10150,2064,570,67,13811,11980,1429,353,49,14524,12991,1175,296,62,9399,8699,533,149,18
"경북","여자",58407,47361,8145,2588,313,2448,1751,459,210,28,5012,3425,1142,413,32,10729,8270,1838,565,56,13321,10799,1914,544,64,16744,14138,1908,609,89,10153,8978,884,247,44
"경남","합계",153950,127627,19652,5836,835,6504,4999,1032,416,57,17626,13497,3110,940,79,35782,28333,5705,1560,184,38602,32239,4812,1342,209,35646,30779,3532,1135,200,19790,17780,1461,443,106
"경남","남자",78298,66366,9235,2342,355,2533,2047,353,119,14,10469,8439,1587,415,28,19169,15278,3055,741,95,19374,16564,2207,511,92,17350,15388,1479,401,82,9403,8650,554,155,44
"경남","여자",75652,61261,10417,3494,480,3971,2952,679,297,43,7157,5058,1523,525,51,16613,13055,2650,819,89,19228,15675,2605,831,117,18296,15391,2053,734,118,10387,9130,907,288,62
"제주","합계",26673,21012,4190,1356,115,976,639,218,108,11,3193,2220,685,269,19,6720,5008,1281,401,30,6802,5477,1007,291,27,5896,4917,740,218,21,3086,2751,259,69,7
"제주","남자",12686,10318,1798,529,41,317,236,59,20,2,1554,1174,275,98,7,3307,2500,609,186,12,3342,2755,465,113,9,2767,2383,294,82,8,1399,1270,96,30,3
"제주","여자",13987,10694,2392,827,74,659,403,159,88,9,1639,1046,410,171,12,3413,2508,672,215,18,3460,2722,542,178,18,3129,2534,446,136,13,1687,1481,163,39,4
