시군구별(1),시군구별(2),SIG_CD,교통시간,자가용시간
서울,종로구,11110,12.343333333333334,7.69
서울,중구,11140,10.406666666666666,6.536666666666666
서울,용산구,11170,14.036666666666667,8.226666666666667
서울,성동구,11200,11.65,7.210000000000001
서울,광진구,11215,10.913333333333334,7.0200000000000005
서울,동대문구,11230,11.533333333333333,7.136666666666667
서울,중랑구,11260,11.203333333333333,6.413333333333333
서울,성북구,11290,13.820000000000002,10.263333333333334
서울,강북구,11305,12.799999999999999,7.876666666666666
서울,도봉구,11320,11.706666666666669,6.9433333333333325
서울,노원구,11350,11.053333333333333,6.359999999999999
서울,은평구,11380,12.013333333333335,6.833333333333333
서울,서대문구,11410,11.07,6.123333333333334
서울,마포구,11440,14.12,9.24
서울,양천구,11470,11.796666666666667,5.983333333333333
서울,강서구,11500,12.566666666666668,7.483333333333333
서울,구로구,11530,11.153333333333334,6.150000000000001
서울,금천구,11545,11.276666666666666,7.196666666666666
서울,영등포구,11560,9.806666666666667,5.483333333333334
서울,동작구,11590,11.373333333333335,7.033333333333334
서울,관악구,11620,12.833333333333334,7.976666666666667
서울,서초구,11650,12.719999999999999,7.903333333333333
서울,강남구,11680,11.736666666666666,7.63
서울,송파구,11710,12.246666666666664,6.903333333333333
서울,강동구,11740,13.549999999999999,7.326666666666667
부산,중구,26110,6.343333333333334,4.81
부산,서구,26140,7.833333333333333,5.213333333333334
부산,동구,26170,7.7,4.94
부산,영도구,26200,11.026666666666666,6.656666666666666
부산,부산진구,26230,10.26,6.523333333333333
부산,동래구,26260,9.839999999999998,5.8500000000000005
부산,남구,26290,10.673333333333332,7.623333333333332
부산,북구,26320,9.073333333333332,5.803333333333334
부산,해운대구,26350,11.13,7.206666666666666
부산,사하구,26380,13.473333333333334,10.916666666666666
부산,금정구,26410,10.613333333333333,7.37
부산,강서구,26440,21.75,14.616666666666667
부산,연제구,26470,10.823333333333332,6.863333333333333
부산,수영구,26500,8.453333333333333,5.353333333333334
부산,사상구,26530,11.38,8.023333333333333
부산,기장군,26710,15.910000000000002,8.770000000000001
대구,중구,27110,9.576666666666666,4.0633333333333335
대구,동구,27140,16.633333333333333,8.633333333333333
대구,서구,27170,10.63,4.8066666666666675
대구,남구,27200,11.096666666666666,5.1866666666666665
대구,북구,27230,12.933333333333332,5.78
대구,수성구,27260,15.103333333333333,7.096666666666667
대구,달서구,27290,13.143333333333333,6.210000000000001
대구,달성군,27710,22.209999999999997,11.089999999999998
인천,중구,28110,19.099999999999998,12.540000000000001
인천,동구,28140,8.223333333333334,4.2299999999999995
인천,미추홀구,28177,9.64,5.17
인천,연수구,28185,11.716666666666667,5.95
인천,남동구,28200,12.790000000000001,6.976666666666667
인천,부평구,28237,9.9,5.68
인천,계양구,28245,10.143333333333333,5.133333333333333
인천,서구,28260,13.136666666666668,7.043333333333333
인천,강화군,28710,34.88666666666666,14.036666666666667
인천,옹진군,28720,77.70333333333333,64.93333333333334
광주,동구,29110,10.076666666666666,6.013333333333333
광주,서구,29140,11.530000000000001,6.363333333333333
광주,남구,29155,9.873333333333333,4.986666666666667
광주,북구,29170,11.76,6.326666666666665
광주,광산구,29200,12.25,5.816666666666667
대전,동구,30110,12.54,7.373333333333334
대전,중구,30140,10.27,5.48
대전,서구,30170,12.213333333333333,6.203333333333333
대전,유성구,30200,15.616666666666667,7.916666666666667
대전,대덕구,30230,11.946666666666667,6.823333333333333
울산,중구,31110,11.343333333333334,5.773333333333333
울산,남구,31140,11.196666666666667,6.1066666666666665
울산,동구,31170,10.686666666666667,6.09
울산,북구,31200,16.026666666666667,9.48
울산,울주군,31710,19.830000000000002,9.223333333333334
세종,세종,36000,23.253333333333334,12.326666666666666
세종,세종,36110,23.253333333333334,12.326666666666666
경기,수원시,41110,15.469999999999999,7.566666666666666
경기,수원시장안구,41111,15.469999999999999,7.566666666666666
경기,수원시권선구,41113,15.469999999999999,7.566666666666666
경기,수원시팔달구,41115,15.469999999999999,7.566666666666666
경기,수원시영통구,41117,18.063333333333333,8.866666666666667
경기,성남시,41130,12.67,6.19
경기,성남시수정구,41131,12.67,6.19
경기,성남시중원구,41133,12.67,6.19
경기,성남시분당구,41135,12.67,6.19
경기,의정부시,41150,13.5,6.28
경기,안양시만안구,41171,11.863333333333332,6.256666666666668
경기,안양시동안구,41173,11.863333333333332,6.256666666666668
경기,부천시,41190,12.286666666666667,5.696666666666668
경기,광명시,41210,12.79,6.676666666666667
경기,평택시,41220,19.353333333333335,8.013333333333334
경기,동두천시,41250,21.936666666666667,13.106666666666667
경기,안산시상록구,41271,15.030000000000001,5.94
경기,안산시단원구,41273,15.030000000000001,5.94
경기,고양시,41280,15.229999999999999,7.739999999999999
경기,고양시덕양구,41281,15.229999999999999,7.739999999999999
경기,고양시일산동구,41285,15.229999999999999,7.739999999999999
경기,고양시일산서구,41287,15.229999999999999,7.739999999999999
경기,과천시,41290,15.75,10.533333333333333
경기,구리시,41310,10.123333333333333,5.12
경기,남양주시,41360,19.55,10.056666666666667
경기,오산시,41370,14.6,5.993333333333333
경기,시흥시,41390,14.923333333333332,6.406666666666666
경기,군포시,41410,9.876666666666667,4.783333333333333
경기,의왕시,41430,14.550000000000002,7.886666666666668
경기,하남시,41450,19.12,10.066666666666666
경기,용인시처인구,41461,18.063333333333333,8.866666666666667
경기,용인시기흥구,41463,18.063333333333333,8.866666666666667
경기,용인시수지구,41465,18.063333333333333,8.866666666666667
경기,파주시,41480,19.73333333333333,8.24
경기,이천시,41500,28.436666666666667,10.173333333333334
경기,안성시,41550,25.393333333333334,9.526666666666667
경기,김포시,41570,15.093333333333334,7.276666666666666
경기,화성시,41590,19.580000000000002,7.5633333333333335
경기,광주시,41610,20.363333333333333,8.903333333333334
경기,양주시,41630,23.830000000000002,12.39
경기,포천시,41650,22.643333333333334,9.193333333333333
경기,여주시,41670,46.126666666666665,17.843333333333334
경기,연천군,41800,46.85666666666666,20.316666666666666
경기,가평군,41820,53.333333333333336,21.873333333333335
경기,양평군,41830,55.52,23.2
강원,춘천시,42110,18.38,7.223333333333334
강원,원주시,42130,18.743333333333336,7.613333333333333
강원,강릉시,42150,22.736666666666668,7.746666666666667
강원,동해시,42170,18.506666666666664,6.72
강원,태백시,42190,23.083333333333332,9.583333333333334
강원,속초시,42210,12.81,4.8500000000000005
강원,삼척시,42230,33.73333333333333,10.23
강원,홍천군,42720,47.97666666666667,14.0
강원,횡성군,42730,66.41666666666667,20.01666666666667
강원,영월군,42750,49.45666666666667,11.793333333333335
강원,평창군,42760,70.93666666666667,25.286666666666665
강원,정선군,42770,61.656666666666666,27.05666666666666
강원,철원군,42780,54.69,26.819999999999997
강원,화천군,42790,62.5,26.506666666666664
강원,양구군,42800,63.51333333333333,32.07
강원,인제군,42810,67.05333333333333,28.11
강원,고성군,42820,44.43333333333334,16.44666666666667
강원,양양군,42830,56.11333333333334,16.07
충북,청주시상당구,43111,15.446666666666667,7.006666666666667
충북,청주시서원구,43112,15.446666666666667,7.006666666666667
충북,청주시흥덕구,43113,15.446666666666667,7.006666666666667
충북,청주시청원구,43114,15.446666666666667,7.006666666666667
충북,충주시,43130,26.48,8.24
충북,제천시,43150,24.883333333333336,8.139999999999999
충북,보은군,43720,56.03,20.623333333333335
충북,옥천군,43730,36.083333333333336,9.64
충북,영동군,43740,58.906666666666666,19.143333333333334
충북,증평군,43745,28.383333333333336,13.253333333333336
충북,진천군,43750,27.843333333333334,8.266666666666667
충북,괴산군,43760,63.95333333333334,22.150000000000002
충북,음성군,43770,43.910000000000004,15.356666666666664
충북,단양군,43800,49.593333333333334,20.0
충남,천안시동남구,44131,15.826666666666666,7.043333333333334
충남,천안시서북구,44133,15.826666666666666,7.043333333333334
충남,공주시,44150,35.22,10.553333333333333
충남,보령시,44180,45.96333333333333,13.373333333333335
충남,아산시,44200,18.453333333333333,7.486666666666667
충남,서산시,44210,30.343333333333334,9.243333333333332
충남,논산시,44230,27.08666666666667,7.923333333333333
충남,계룡시,44250,21.19333333333333,11.26
충남,당진시,44270,32.38666666666666,9.263333333333334
충남,금산군,44710,52.06333333333333,18.236666666666668
충남,부여군,44760,48.4,16.44
충남,서천군,44770,46.72666666666667,14.506666666666666
충남,청양군,44790,64.71,18.2
충남,홍성군,44800,28.44666666666667,9.353333333333333
충남,예산군,44810,36.29,9.673333333333334
충남,태안군,44825,65.87333333333333,21.956666666666667
전북,전주시,45110,12.306666666666667,7.426666666666667
전북,전주시완산구,45111,12.306666666666667,7.426666666666667
전북,전주시덕진구,45113,12.306666666666667,7.426666666666667
전북,군산시,45130,18.150000000000002,7.053333333333332
전북,익산시,45140,18.223333333333333,7.219999999999999
전북,정읍시,45180,31.706666666666667,9.14
전북,남원시,45190,30.02333333333333,9.816666666666666
전북,김제시,45210,36.25333333333333,13.85
전북,완주군,45710,29.91,13.063333333333333
전북,진안군,45720,65.64,23.706666666666667
전북,무주군,45730,66.53333333333333,28.906666666666666
전북,장수군,45740,61.63333333333333,24.28333333333333
전북,임실군,45750,59.949999999999996,19.173333333333336
전북,순창군,45770,58.57333333333333,18.206666666666667
전북,고창군,45790,33.050000000000004,9.726666666666667
전북,부안군,45800,36.626666666666665,11.953333333333333
전남,목포시,46110,11.29,5.34
전남,여수시,46130,16.933333333333334,9.25
전남,순천시,46150,17.366666666666667,7.933333333333333
전남,나주시,46170,26.893333333333334,9.133333333333333
전남,광양시,46230,16.69666666666667,6.823333333333333
전남,담양군,46710,40.64666666666667,13.26
전남,곡성군,46720,52.973333333333336,17.903333333333332
전남,구례군,46730,46.0,19.18
전남,고흥군,46770,46.68333333333334,13.979999999999999
전남,보성군,46780,50.69333333333333,19.180000000000003
전남,화순군,46790,32.336666666666666,8.476666666666667
전남,장흥군,46800,83.14333333333333,11.323333333333332
전남,강진군,46810,50.01666666666667,13.333333333333334
전남,해남군,46820,50.13666666666666,12.93
전남,영암군,46830,39.099999999999994,13.936666666666667
전남,무안군,46840,27.820000000000004,9.416666666666666
전남,함평군,46860,49.09,12.113333333333335
전남,영광군,46870,34.06,10.906666666666666
전남,장성군,46880,58.580000000000005,13.643333333333333
전남,완도군,46890,63.5,40.163333333333334
전남,진도군,46900,71.17666666666666,39.526666666666664
전남,신안군,46910,90.91666666666667,53.07333333333333
경북,포항시남구,47111,17.933333333333334,7.6433333333333335
경북,포항시북구,47113,17.933333333333334,7.6433333333333335
경북,경주시,47130,27.573333333333334,11.153333333333334
경북,김천시,47150,27.19666666666667,8.933333333333334
경북,안동시,47170,32.94,9.270000000000001
경북,구미시,47190,21.606666666666666,7.966666666666666
경북,영주시,47210,25.663333333333338,8.493333333333332
경북,영천시,47230,37.75333333333334,10.69
경북,상주시,47250,38.57666666666666,10.506666666666666
경북,문경시,47280,35.79,10.006666666666666
경북,경산시,47290,17.0,7.296666666666667
경북,군위군,47720,67.79333333333334,20.683333333333334
경북,의성군,47730,73.67333333333333,22.503333333333334
경북,청송군,47750,63.053333333333335,27.38333333333333
경북,영양군,47760,78.44333333333333,36.35
경북,영덕군,47770,63.39000000000001,30.543333333333333
경북,청도군,47820,64.94333333333333,19.186666666666664
경북,고령군,47830,48.830000000000005,17.926666666666666
경북,성주군,47840,70.79666666666667,21.040000000000003
경북,칠곡군,47850,30.590000000000003,10.3
경북,예천군,47900,56.160000000000004,17.543333333333333
경북,봉화군,47920,81.84333333333333,20.549999999999997
경북,울진군,47930,58.24,34.376666666666665
경북,울릉군,47940,82.26,81.07333333333334
경남,창원시 의창구,48121,12.806666666666667,6.626666666666666
경남,창원시 성산구,48123,12.806666666666667,6.626666666666666
경남,창원시 마산합포구,48125,12.806666666666667,6.626666666666666
경남,창원시 마산회원구,48127,12.806666666666667,6.626666666666666
경남,창원시 진해구,48129,12.806666666666667,6.626666666666666
경남,진주시,48170,18.856666666666666,9.086666666666666
경남,통영시,48220,38.26666666666667,22.959999999999997
경남,사천시,48240,52.38333333333333,14.796666666666667
경남,김해시,48250,13.26,6.6066666666666665
경남,밀양시,48270,48.71666666666667,21.143333333333334
경남,거제시,48310,16.676666666666666,8.746666666666666
경남,양산시,48330,11.93,5.9433333333333325
경남,의령군,48720,70.97666666666667,20.64
경남,함안군,48730,38.830000000000005,11.74
경남,창녕군,48740,53.446666666666665,18.596666666666668
경남,고성군,48820,54.45000000000001,20.076666666666668
경남,남해군,48840,58.423333333333325,27.146666666666665
경남,하동군,48850,72.35000000000001,21.076666666666668
경남,산청군,48860,79.09666666666666,22.583333333333332
경남,함양군,48870,52.51,23.070000000000004
경남,거창군,48880,55.88333333333333,29.736666666666668
경남,합천군,48890,65.48333333333333,27.72
제주,제주시,50110,18.963333333333335,9.726666666666667
제주,서귀포시,50130,23.51,13.270000000000001
